2013-09-04 13:30:111,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:128,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:144,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:160,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:177,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:195,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:211,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:227,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:245,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:261,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:278,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:294,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:312,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:328,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:344,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:361,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:377,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:395,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:411,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:428,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:444,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:461,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:478,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:495,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:511,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:527,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:545,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:561,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:578,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:594,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:611,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:627,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:645,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:660,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:677,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:695,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:712,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:727,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:745,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:761,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:778,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:794,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:811,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:828,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:845,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:861,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:877,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:894,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:910,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:928,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:944,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:961,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:977,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:994,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:10,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:28,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:44,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:60,3779,3761,9268,1706,15425,1195,965,18276,0

2013-09-04 13:30:78,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:95,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:112,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:128,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:144,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:161,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:178,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:193,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:211,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:227,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:244,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:260,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:278,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:294,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:311,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:328,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:344,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:361,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:377,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:394,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:411,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:428,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:445,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:460,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:477,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:494,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:511,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:528,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:544,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:560,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:578,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:594,7463,9585,1781,2218,26667,2736,1811,25691,0

2013-09-04 13:30:611,7463,9585,1781,2218,26667,2736,1811,25691,0

